State,stateFIPS,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06
AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,13,16,17,21,26,31,32,39,48,48,58,60,61,61,73,75,82,96,110,112,112,141,174,194,208,212,218,227,240,261,269,287,287,289,297,314,341,368,381,388,391,401,438,448,470,482,482,485,486,500,522,529,541,551,558,566,580,583,605,610,618,629,643,650,650,651,670,684,687,712,723,739,750,764,768,768,774,785,790,809,821,838,839,840,864,890,896,907,919,919,929,950,972,985,1006,1007,1007,1007,1033,1058,1068,1104,1114,1121,1124,1164,1211,1230,1265,1286,1287,1291,1303,1364,1397,1438,1456,1473,1491,1491,1538,1565,1580,1603,1627,1633,1666,1695,1714,1735,1768,1768,1797,1847,1882,1890,1893,1896,1898,1925,1936,1944,1974,1990,2011,2013,2024,2037,2045,2076,2107,2152,2162,2182,2200,2217,2233,2266,2275,2276,2276,2277,2285,2301,2333,2350,2351,2355,2387,2392,2401,2428,2437,2437,2439,2457,2488,2491,2501,2501,2501,2501,2517,2540,2542,2550,2558,2558,2559,2580,2601,2637,2653,2664,2664,2665,2665,2706,2756,2786,2788,2788,2789,2805,2828,2843,2859,2866,2866,2863,2890,2909,2911,2930,2964,2970,2970,2983,3001,3021,3046,3079,3080,3080,3116,3197,3209,3229,3244,3246,3247,3296,3342,3413,3446,3455,3455,3457,3470,3530,3570,3570,3570,3575,3576,3635,3709,3774,3829,3874,3886,3889,3938,3982,4029,4079,4079,4079,4099,4124,4197,4253,4296,4389,4389,4389,4452,4587,4676,4680,4683,4689,4710,4737,4774,4827,4871,4871,4872,4877,4885,4991,5078,5191,5299,5333,5346,5568,5753,5941,6027,6118,6118,6119,6125,6283,6379,6486,6657,6660,6662,6896,7172,7340,7566,7566,7688,7688,7894,8203,8365,8449,8522
AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,5,6,6,6,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,16,16,17,17,17,17,18,18,18,18,19,19,19,20,20,21,22,22,23,23,24,24,25,25,25,25,25,26,26,26,26,26,27,27,28,28,28,29,29,29,30,31,32,32,36,37,37,37,37,37,37,39,39,40,40,42,42,42,42,42,42,43,44,44,44,44,44,44,45,45,45,45,45,45,46,52,52,56,56,56,56,57,57,58,58,58,58,59,60,60,60,60,60,60,64,65,66,67,67,67,67,68,68,68,68,68,68,70,71,77,81,82,83,84,84,84,84,83,83,83,83,91,94,94,95,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,135,138,138,141,146,150,168,168,168,171,173,175,175,175,175,175,185,188,190,190,191,191,191,192,194,197,197,206,206,208,208,210,213,213,214,214,214,214,216,218,219,219,219,219,220,242,243,243,248,248,248,249,250,251,251,251,251,251,267,267,267,267,267
AZ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,8,13,15,17,20,24,29,32,41,52,64,65,72,79,86,95,108,114,121,130,141,149,168,176,183,186,207,227,248,265,272,274,274,291,302,318,328,346,360,360,393,424,448,514,529,533,539,559,591,621,648,676,677,683,701,744,758,770,795,796,801,803,826,851,880,896,910,910,935,974,989,1004,1035,1045,1045,1069,1094,1123,1138,1183,1186,1192,1218,1238,1271,1311,1337,1339,1342,1395,1463,1484,1535,1579,1588,1588,1632,1720,1756,1788,1805,1809,1810,1927,1963,2038,2082,2151,2237,2245,2337,2434,2492,2583,2730,2761,2784,2918,2974,3063,3284,3286,3305,3304,3408,3454,3626,3694,3747,3765,3779,3845,3932,4002,4081,4137,4150,4154,4199,4347,4383,4423,4492,4506,4506,4529,4634,4684,4688,4756,4771,4771,4792,4896,4929,4978,5007,5030,5029,5044,5065,5130,5171,5207,5221,5219,5221,5251,5273,5288,5315,5322,5322,5344,5371,5409,5451,5467,5476,5478,5498,5525,5559,5587,5622,5622,5623,5632,5650,5673,5693,5705,5706,5707,5713,5733,5743,5746,5759,5759,5759,5767,5772,5789,5806,5824,5827,5830,5837,5854,5859,5865,5869,5874,5875,5891,5905,5918,5934,5978,5981,5982,6020,6059,6087,6109,6147,6164,6164,6192,6229,6239,6257,6299,6301,6301,6312,6364,6383,6427,6456,6464,6464,6513,6522,6568,6588,6624,6634,6639,6687,6739,6739,6885,6925,6950,6950,6973,7081,7154,7245,7322,7357,7358,7422,7530,7677,7819,7937,7971,7971,7971,7971,7971,7971,7971,7971,8469,8640,8718,8864,9014,9061,9061,9064,9317,9444,9741,9938,10036,10141,10147,10482,10673,10855,11040,11248,11265,11265,11266,11528,11772,12001,12170,12237,12239,12448,12642,12819,13021,13097,13120,13124,13362,13576,13752,13945,14010
AR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,5,7,8,10,12,12,13,15,16,18,18,21,24,25,27,27,32,33,36,36,37,38,41,41,43,44,46,47,50,51,57,59,61,64,72,75,80,83,87,88,88,88,91,94,95,97,98,98,98,98,100,102,107,110,113,115,116,117,119,120,125,132,133,133,133,136,141,150,151,153,153,155,161,165,171,176,177,179,182,188,197,208,214,224,225,227,237,240,240,249,259,264,265,270,277,279,281,286,287,292,301,305,309,313,319,321,323,331,335,341,353,357,357,363,374,380,386,394,399,401,408,428,434,442,453,458,461,475,490,508,515,521,535,544,555,566,573,582,587,600,599,603,619,631,641,663,674,687,696,711,732,739,756,772,784,797,814,841,861,873,882,894,908,917,928,940,953,953,980,992,1010,1157,1166,1173,1181,1181,1197,1209,1229,1246,1266,1285,1308,1329,1350,1369,1384,1391,1407,1425,1447,1469,1482,1503,1530,1552,1569,1586,1611,1634,1645,1665,1684,1704,1714,1728,1751,1772,1782,1797,1812,1829,1854,1871,1889,1895,1924,1957,1983,2001,2025,2036,2054,2066,2083,2106,2109,2122,2140,2144,2155,2180,2222,2242,2272,2293,2317,2329,2349,2376,2394,2414,2425,2425,2436,2470,2502,2512,2522,2555,2586,2620,2660,2713,2751,2785,2819,2874,2910,2944,2989,3016,3073,3112,3139,3191,3237,3295,3338,3374,3406,3438,3441,3482,3537,3603,3637,3676,3711,3729,3749,3799,3836,3901,3926,3966,4010,4043,4081,4121,4186,4228,4263,4293,4311,4343,4386,4441,4496,4549,4563,4606,4650,4690,4742,4784,4831,4838,4868,4895,4939,4985,5009,5050,5061
CA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,6,7,7,7,7,9,14,17,20,22,27,30,36,43,55,70,86,103,124,135,152,185,215,246,284,323,352,389,448,505,546,596,632,677,726,779,879,971,1011,1147,1177,1224,1317,1430,1527,1611,1690,1713,1776,1865,1941,2031,2128,2185,2208,2282,2376,2459,2540,2627,2689,2716,2777,2877,2969,3049,3157,3208,3240,3284,3406,3495,3597,3667,3735,3751,3766,3823,3912,3993,4074,4141,4171,4171,4315,4384,4452,4535,4604,4632,4657,4749,4854,4928,4984,5055,5082,5115,5197,5278,5352,5418,5486,5507,5565,5622,5723,5804,5865,5898,5930,5976,6081,6160,6383,6312,6330,6336,6448,6563,6710,6849,6952,7026,7049,7096,7237,7366,7489,7543,7702,7713,7772,7892,8048,8202,8339,8428,8450,8545,8714,8908,9008,9224,9361,9393,9507,9701,9868,10001,10186,10285,10373,10465,10650,10811,10998,11148,11222,11238,11344,11524,11688,11820,11975,12116,12152,12257,12407,12550,12689,12801,12905,12938,13019,13165,13323,13488,13642,13707,13728,13761,13812,13991,14050,14261,14333,14412,14467,14615,14709,14812,14912,14987,15018,15069,15203,15313,15398,15534,15578,15603,15662,15813,15907,16000,16097,16142,16166,16200,16279,16376,16450,16524,16589,16592,16617,16678,16782,16852,16927,16964,16991,17013,17049,17214,17287,17337,17345,17356,17398,17471,17535,17566,17626,17659,17663,17687,17748,17814,17861,17936,17964,17974,18003,18069,18106,18140,18219,18252,18263,18303,18356,18456,18526,18562,18597,18719,18766,18876,18980,19034,19096,19133,19152,19215,19326,19449,19597,19794,19879,19933,20050,20214,20464,20622,20850,20971,21028,21183,21466,21855,22159,22431,22583,22668,22676,22923,23284,23635,23947,23983,24220,24284,24526,24958,25386,25970,26357,26538,26635,27003,27462,28045,28538,29233,29701,29965,30512,31094,31633,32278,32960,33392,33593,33739,34433,35004,35768,36361,36790,37118,37527,38224,38961,39578,40216,40697,40908,41330,41811,42466,43024,43647
CO,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,6,7,7,11,19,24,31,44,47,54,69,80,97,111,126,139,150,179,193,227,250,274,290,290,329,357,374,391,411,422,449,486,508,550,660,670,678,703,735,765,776,820,832,842,851,901,920,943,958,966,970,986,1008,1061,1090,1149,1191,1213,1223,1256,1297,1307,1320,1325,1329,1332,1351,1392,1421,1435,1442,1444,1456,1472,1492,1509,1520,1524,1524,1540,1551,1571,1582,1594,1597,1598,1603,1616,1630,1636,1642,1646,1646,1650,1662,1664,1665,1673,1674,1674,1682,1690,1697,1700,1701,1701,1701,1701,1696,1704,1706,1724,1725,1725,1727,1738,1744,1745,1751,1752,1752,1758,1763,1771,1786,1790,1794,1794,1799,1807,1822,1822,1838,1844,1844,1844,1849,1851,1852,1856,1857,1858,1863,1875,1875,1882,1888,1896,1896,1896,1899,1900,1903,1910,1918,1918,1919,1926,1927,1931,1937,1944,1944,1945,1946,1952,1955,1966,1966,1971,1973,1973,1977,1979,1985,1988,1988,1990,1996,2002,2006,2009,2013,2014,2018,2025,2030,2033,2037,2040,2041,2044,2046,2051,2052,2057,2057,2068,2069,2081,2085,2095,2103,2112,2113,2116,2153,2160,2162,2172,2176,2176,2180,2182,2194,2198,2211,2218,2223,2225,2235,2248,2266,2276,2276,2286,2290,2309,2331,2351,2375,2387,2393,2408,2426,2443,2467,2503,2524,2545,2577,2608,2651,2729,2745,2787,2806,2810,2860,2906,2956,2977,2983,3003,3037,3109,3193,3320,3338,3356,3356,3358,3372,3639,3759,3846,3871,3956,3968,4080,4135,4203,4259,4339,4331,4339,4369,4462,4550,4586,4592,4610,4631,4687,4751,4814,4873,4912,4934,4942,4989,5048,5100,5138,5190,5208,5213,5242,5283,5310,5332,5357,5367,5371,5379,5422,5440,5462,5482,5505,5512,5517,5552,5569,5594,5616,5637,5641,5650,5664,5664,5704,5722
FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,5,6,7,8,10,10,13,17,19,23,30,46,56,59,71,85,97,144,170,195,221,254,296,323,370,419,446,461,461,571,614,668,726,750,774,823,867,927,987,1045,1054,1074,1088,1171,1218,1267,1314,1364,1379,1399,1468,1535,1596,1667,1713,1719,1735,1779,1827,1875,1917,1963,1973,1996,2051,2094,2144,2189,2232,2236,2251,2257,2317,2362,2411,2446,2450,2459,2529,2564,2607,2660,2688,2700,2711,2765,2800,2847,2877,2925,2931,2938,2993,3018,3061,3104,3144,3161,3172,3236,3281,3327,3366,3390,3419,3447,3505,3550,3617,3684,3702,3731,3778,3841,3889,4009,4102,4197,4242,4277,4409,4521,4677,4805,4895,4982,5072,5206,5349,5518,5653,5777,5854,5931,6117,6586,6586,6843,7022,7084,7157,7402,7627,7747,7927,8109,8186,8277,8553,8765,8913,9141,9345,9452,9539,9758,9932,10049,10168,10274,10325,10397,10580,10733,10868,10957,11105,11119,11187,11374,11501,11650,11750,11811,11849,11871,11915,12115,12326,12502,12600,12608,12642,12787,12939,13086,13225,13287,13296,13317,13416,13618,13795,13915,14022,14032,14037,14143,14317,14434,14554,14628,14671,14712,14767,14904,15068,15186,15364,15364,15412,15531,15595,15736,15830,15917,15967,16021,16105,16210,16267,16340,16417,16429,16447,16504,16564,16646,16712,16761,16789,16833,16879,16919,16961,17013,17100,17121,17179,17248,17300,17370,17441,17488,17515,17558,17643,17729,17810,17878,17930,17991,18078,18157,18247,18247,18362,18437,18496,18592,18669,18765,18862,18982,19069,19161,19257,19376,19462,19591,19714,19785,19866,19999,20081,20195,20292,20401,20473,20564,20671,20748,20874,20995,20995,21134,21212,21308,21409,21546,21673,21670,21887,21976,22078,22183,22317,22481,22666,22804,22912,23071,23227,23396,23613,23797,24004,24137,24269,24435,24578,24739,25081,25164,25293,25446,25673,25833,26035,26254,26360,26479,26685,26822,27019,27247,27457,27603
GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10,14,20,20,26,37,46,55,65,78,82,102,125,154,175,197,207,219,292,342,369,407,419,430,440,440,521,573,611,665,673,687,764,812,841,875,895,902,912,988,1029,1088,1125,1158,1165,1171,1233,1283,1319,1343,1388,1390,1392,1444,1481,1502,1534,1574,1584,1593,1633,1668,1689,1769,1803,1818,1823,1846,1894,1934,1965,1997,1998,2038,2077,2103,2126,2151,2160,2171,2174,2266,2282,2344,2386,2418,2440,2445,2500,2531,2578,2597,2631,2632,2632,2648,2689,2717,2750,2773,2775,2777,2794,2807,2833,2852,2856,2859,2860,2882,2902,2923,2937,2992,2996,2999,3016,3053,3090,3103,3130,3166,3171,3173,3248,3266,3358,3441,3492,3495,3508,3508,3636,3671,3751,3824,3839,3841,3919,3982,4023,4113,4182,4194,4225,4343,4452,4537,4571,4664,4698,4720,4787,4843,4899,4992,5086,5125,5150,5254,5303,5387,5467,5571,5599,5627,5726,5790,5859,5921,5971,6031,6038,6064,6122,6198,6244,6284,6329,6349,6395,6416,6470,6532,6594,6597,6599,6669,6764,6816,6868,6905,6936,6951,6983,7012,7048,7097,7122,7148,7148,7212,7237,7280,7341,7389,7412,7425,7451,7162,7485,7546,7604,7635,7653,7668,7699,7726,7762,7802,7803,7821,7837,7866,7912,7947,7971,7973,7993,8021,8065,8116,8154,8190,8191,8219,8259,8325,8393,8409,8447,8448,8456,8481,8515,8555,8580,8613,8616,8628,8641,8688,8713,8743,8771,8775,8776,8797,8828,8876,8918,8966,8968,9004,9025,9072,9120,9171,9200,9201,9212,9244,9296,9355,9394,9433,9435,9452,9502,9554,9606,9655,9708,9713,9718,9759,9808,9872,9889,9891,9893,9900,9966,10035,10100,10180,10280,10282,10299,10443,10580,10721,10878,11029,11032,11095,11095,11411,11511,11670,11798,11801,11854,11996,12135,12280,12410,12568,12570,12613,12772,12907,13048,13146,13324
ID,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,9,9,9,10,10,10,12,14,17,23,25,27,27,33,39,41,41,43,44,45,48,51,54,54,54,56,56,58,58,60,62,62,63,63,63,65,66,67,67,67,67,69,69,69,72,73,73,73,74,76,76,76,78,78,78,78,81,82,82,82,82,82,83,83,83,83,83,83,83,83,85,85,85,86,86,86,88,88,88,89,89,89,89,89,89,90,90,90,91,91,91,92,92,92,92,92,92,94,94,98,100,101,102,102,102,103,110,114,114,119,119,122,126,135,138,144,146,146,152,160,173,177,189,196,196,200,210,217,223,229,235,237,239,246,246,251,265,269,269,273,282,291,291,304,306,306,314,326,337,343,353,358,358,361,368,372,372,382,384,384,385,389,406,407,412,415,415,419,423,429,434,438,441,442,445,451,454,457,458,460,460,460,464,469,472,474,480,480,487,492,500,503,506,507,507,510,512,516,517,523,529,529,531,534,546,553,562,571,571,579,584,584,614,625,628,629,631,646,663,670,678,682,685,697,713,732,746,750,750,758,762,798,812,835,843,845,846,846,874,894,894,909,913,919,929,960,991,1013,1031,1032,1032,1055,1074,1103,1136,1151,1169,1175,1194,1214,1230,1257,1274,1275,1279,1299,1313,1313,1349,1313,1313,1354,1376,1393,1403,1436,1436,1448,1448,1458,1471,1488,1517,1523,1528,1534,1543,1555,1555,1555,1603,1605,1607,1607,1635,1635,1654,1667,1668,1669,1681,1688,1714,1720,1725,1725,1725,1725,1741,1747,1747,1758,1767
IL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,8,11,16,18,26,29,47,65,72,99,139,157,209,244,274,307,380,462,528,596,677,720,720,868,948,1072,1132,1259,1290,1349,1468,1565,1686,1794,1875,1933,1983,2125,2214,2354,2456,2554,2616,2660,2838,2974,3110,3239,3347,3405,3458,3601,3791,3927,4057,4127,4176,4233,4377,4524,4607,4715,4790,4855,4884,4923,5081,5184,5268,5329,5389,5411,5524,5620,5735,5794,5862,5903,5923,6017,6094,6184,6259,6288,6307,6325,6397,6485,6537,6580,6625,6647,6671,6706,6769,6809,6847,6873,6888,6902,6923,6951,6987,7005,7014,7020,7026,7063,7099,7118,7144,7168,7187,7193,7218,7226,7251,7272,7290,7295,7301,7324,7347,7367,7385,7396,7398,7416,7446,7462,7478,7495,7503,7517,7526,7545,7573,7594,7613,7631,7636,7637,7657,7672,7696,7721,7726,7744,7756,7782,7806,7833,7857,7874,7880,7888,7917,7954,7977,7997,8008,8019,8026,8064,8091,8115,8143,8166,8171,8179,8186,8214,8242,8273,8295,8309,8314,8332,8367,8392,8411,8436,8450,8457,8486,8508,8538,8563,8588,8601,8614,8637,8672,8695,8743,8774,8791,8805,8836,8878,8910,8945,8975,8984,8997,9026,9074,9127,9165,9192,9214,9236,9277,9345,9387,9418,9481,9505,9521,9567,9617,9674,9709,9709,9779,9810,9877,9933,10030,10078,10153,10195,10209,10289,10434,10476,10503,10668,10740,10777,10874,11014,11178,11304,11430,11506,11552,11677,11831,11963,12029,12137,12193,12278,12403,12639,12830,12973,13178,13254,13342,13485,13665,13861,14050,14176,14290,14394,14509,14655,14835,15015,15120,15201,15299,15411,15544,15643,15797,15865,15969,16074,16179,16356,16486,16485,16667,16751,16832,16959,17096,17272,17395,17494,17574,17627,17741,17838,17928,18048,18178,18207,18258,18291,18398,18520,18615,18711,18750,18798,18883,18964,19067,19138,19203,19243,19259,19306,19375,19444,19526,19585
